日期,摄像头编号,采集地点,当日采集任务,采集时长,家庭编号,备注,,,,,,,,,,,,,
2026/2/3,101-9921,丰县,,4.1,,单台试采,,,,,,,,,,,,,
2026/2/5,017-0af6,丰县,叠衣服,4.68,家庭1,,,,,,,,,,,,,,
2026/2/5,101-9921,丰县,,,,家里来亲戚,,,,,,,,,,,,,
2026/2/6,017-0af6,丰县,用抹布擦拭碗盘,5.4,家庭1,,今日为第一天在公司培训 集中采集 可以计入时长,,,,,,,,,,,,
2026/2/6,22-2d1c,丰县,叠衣服,,家庭2,有录制 无时间统计 有上送时长,,,,,,,,,,,,,
2026/2/6,19-c192,丰县,整理文件,,家庭3,有录制 无时间统计 有上送时常,,,,,,,,,,,,,
2026/2/6,97-98a7,丰县,叠衣服,3.18,家庭4,,,,,,,,,,,,,,
2026/2/6,58-63be,丰县,书本收纳,2.6,家庭5,,,,,,,,,,,,,,
2026/2/6,101-9921,丰县,书本收纳,5,家庭6,,,,,,,,,,,,,,
2026/2/7,97-98a7,丰县,叠衣服,2.6,家庭4,,,,,,,,,,,,,,
2026/2/7,017-0af6,丰县,书本收纳,5,家庭1,,,,,,,,,,,,,,
2026/2/7,58-63be,丰县,书本收纳,2.4,家庭5,,,,,,,,,,,,,,
2026/2/7,22-2d1c,丰县,叠衣服,2.31,家庭2,,,,,,,,,,,,,,
2026/2/7,08-9921,丰县,用抹布擦拭碗盘,5,家庭6,主机有损 从101更换为08,,,,,,,,,,,,,
2026/2/7,19-c192,丰县,整理文件,3,家庭3,,,,,,,,,,,,,,
2026/2/8,017-0af6,丰县,整理文件,5,家庭1,,,,,,,,,,,,,,
2026/2/8,08-9921,丰县,叠衣服,5,家庭6,,,,,,,,,,,,,,
2026/2/8,58-63be,丰县,整理文件,3,家庭5,,,,,,,,,,,,,,
2026/2/8,97-98a7,丰县,用抹布擦拭碗盘,4.36,家庭4,,,,,,,,,,,,,,
2026/2/8,22-2d1c,丰县,药箱收纳,2.55,家庭2,,,,,,,,,,,,,,
2026/2/9,58-63be,丰县,整理文件,2.66,家庭5,早上已录制2h6s,,,,,,,,,,,,,
2026/2/9,017-0af6,丰县,收拾桌面,3.97,家庭1,,,,,,,,,,,,,,
2026/2/9,58-63be,丰县,用抹布擦拭碗盘,4.33,家庭5,,,,,,,,,,,,,,
2026/2/9,101-6ea2,丰县,叠衣服,,家庭7,试采/时长可忽略不计,,,,,,,,,,,,,
2026/2/9,104-3fff,丰县,书本收纳,5,家庭8,,,,,,,,,,,,,,
2026/2/9,97-98a7,丰县,书本收纳,4.86,家庭4,,,,,,,,,,,,,,
2026/2/9,19-c192,丰县,叠衣服,5.1,家庭3,,,,,,,,,,,,,,
2026/2/10,017-0af6,丰县,药箱收纳,5.08,家庭1,,,,,,,,,,,,,,
2026/2/10,97-98a7,丰县,药箱收纳,2.5,家庭4,,,,,,,,,,,,,,
2026/2/10,58-63be,丰县,叠衣服,5,家庭5,,,,,,,,,,,,,,
2026/2/10,101-6ea2,丰县,叠衣服,5,家庭7,程工带新人试采培训多个任务，可忽略不计,,,,,,,,,,,,,
2026/2/10,104-3fff,丰县,叠衣服,5.25,家庭8,,,,,,,,,,,,,,
2026/2/10,19-c192,丰县,药箱收纳,5,家庭3,,,,,,,,,,,,,,
2026/2/10,08-9921,丰县,整理文件,5,家庭6,,,,,,,,,,,,,,
2026/2/10,22-2d1c,丰县,用抹布擦拭碗盘,2.13,家庭2,,,,,,,,,,,,,,
2026/2/10,55-4aa8,丰县,药箱收纳,4.66,家庭9,程工试采,,,,,,,,,,,,,
2026/2/10,25-7088,丰县,书本收纳,5.1,家庭10,,,,,,,,,,,,,,
2026/2/10,97-98a7,丰县,整理文件,0.3,家庭4,,,,,,,,,,,,,,
2026/2/11,25-7088,丰县,药箱收纳,5.06,家庭10,,,,,,,,,,,,,,
2026/2/11,104-3fff,丰县,整理零食、调料或玩具,5.5,家庭8,,,,,,,,,,,,,,
2026/2/11,08-9921,丰县,药箱收纳,5,家庭6,,,,,,,,,,,,,,
2026/2/11,19-c192,丰县,用抹布擦拭碗盘,5,家庭3,,,,,,,,,,,,,,
2026/2/11,97-98a7,丰县,整理文件,2.1,家庭4,一个早上10点开始 一个下午六点开始 初始界面视频为0G 推测是一天录制两个任务 另一个待确认 暂未计入,,,,,,,,,,,,,
2026/2/11,97-98a7,丰县,药箱收纳,2.5,家庭4,,,,,,,,,,,,,,
2026/2/11,58-63be,丰县,收拾桌面,5,家庭5,,,,,,,,,,,,,,
2026/2/11,017-0af6,丰县,电池安装,5,家庭1,,,,,,,,,,,,,,
2026/2/11,55-4aa8,丰县,药箱收纳,4.9,家庭9,,,,,,,,,,,,,,
2026/2/11,101-6ea2,丰县,书本收纳,5,家庭7,,,,,,,,,,,,,,
