日期,摄像头编号,采集地点,当日采集任务,采集时长
2026年2月3日,ee38,河南,叠衣服,3
2026年2月3日,b1e0,深圳,整理鞋柜,5
2026年2月3日,23dc,深圳,整理零食、调料或玩具,5
2026/2/3,101-9921,丰县,,4.1
2026年2月3日,1af8,河南,叠衣服,3
2026年2月3日,d8db,河南,叠衣服,3
2026年2月4日,23dc,深圳,整理洗漱用品,5
2026年2月4日,b1e0,深圳,整理洗漱用品,5
2026年2月5日,23dc,深圳,整理碗筷,5
2026/2/5,017-0af6,丰县,叠衣服,4.68
2026年2月5日,d8db,河南,穿鞋带,5
2026/2/5,101-9921,丰县,,
2026年2月5日,b1e0,深圳,用抹布擦拭碗盘,5
2026/2/6,19-c192,丰县,整理文件,
2026/2/6,97-98a7,丰县,叠衣服,3.18
2026/2/6,58-63be,丰县,书本收纳,2.6
2026/2/6,101-9921,丰县,书本收纳,5.0
2026/2/6,017-0af6,丰县,用抹布擦拭碗盘,5.4
2026/2/6,22-2d1c,丰县,叠衣服,
2026年2月6日,81-ee38,河南,叠衣服,
2026年2月6日,114-d8db,河南,书本收纳,
2026年2月7日,109-22ad,河南,叠衣服,1.43
2026/2/7,19-c192,丰县,整理文件,3.0
2026/2/7,08-9921,丰县,用抹布擦拭碗盘,5.0
2026/2/7,22-2d1c,丰县,叠衣服,2.31
2026/2/7,58-63be,丰县,书本收纳,2.4
2026/2/7,017-0af6,丰县,书本收纳,5.0
2026/2/7,97-98a7,丰县,叠衣服,2.6
2026年2月7日,81-ee38,河南,叠衣服,
2026年2月7日,114-d8db,河南,收拾桌面,
2026年2月7日,102-4f53,河南,穿鞋带,
2026年2月7日,59-2f59,河南,叠衣服,
2026/2/8,58-63be,丰县,整理文件,3.0
2026/2/8,08-9921,丰县,叠衣服,5.0
2026/2/8,017-0af6,丰县,整理文件,5.0
2026/2/8,97-98a7,丰县,用抹布擦拭碗盘,4.36
2026/2/8,22-2d1c,丰县,药箱收纳,2.55
2026年2月8日,114-d8db,河南,收拾桌面,
2026年2月8日,109-22ad,河南,叠衣服,5.31
2026年2月8日,59-2f59,河南,叠衣服,
2026年2月8日,102-4f53,河南,穿鞋带,5.18
2026/2/9,97-98a7,丰县,书本收纳,4.86
2026/2/9,104-3fff,丰县,书本收纳,5.0
2026/2/9,101-6ea2,丰县,叠衣服,
2026/2/9,58-63be,丰县,用抹布擦拭碗盘,4.33
2026/2/9,017-0af6,丰县,收拾桌面,3.97
2026/2/9,58-63be,丰县,整理文件,2.66
2026/2/9,19-c192,丰县,叠衣服,5.1
2026年2月9日,59-2f59,河南,整理数据线,5.8
2026年2月9日,102-4f53,河南,电池安装,5.9
2026/2/10,58-63be,丰县,叠衣服,5.0
2026/2/10,08-9921,丰县,整理文件,5.0
2026年2月10日,14-1ec0,济宁,整理文件,5.14
2026年2月10日,102-4f53,河南,药箱收纳,10.7
2026年2月10日,39-d877,济宁,整理文件,5.4
2026年2月10日,67-f20e,济宁,整理文件,5.4
2026/2/10,19-c192,丰县,药箱收纳,5.0
2026/2/10,104-3fff,丰县,叠衣服,5.25
2026/2/10,101-6ea2,丰县,叠衣服,5.0
2026/2/10,97-98a7,丰县,药箱收纳,2.5
2026年2月10日,59-2f59,河南,电池安装,5.7
2026/2/10,55-4aa8,丰县,药箱收纳,4.66
2026/2/10,22-2d1c,丰县,用抹布擦拭碗盘,2.13
2026/2/10,97-98a7,丰县,整理文件,0.3
2026/2/10,25-7088,丰县,书本收纳,5.1
2026/2/10,017-0af6,丰县,药箱收纳,5.08
2026/2/11,08-9921,丰县,药箱收纳,5.0
2026/2/11,104-3fff,丰县,整理零食、调料或玩具,5.5
2026年2月11日,14-1ec0,济宁,整理文件,6.24
2026/2/11,25-7088,丰县,药箱收纳,5.06
2026/2/11,22-2d1c,丰县,用抹布擦拭碗盘,2.23
2026/2/11,101-6ea2,丰县,书本收纳,5.0
2026/2/11,55-4aa8,丰县,药箱收纳,4.9
2026年2月11日,102-4f53,河南,整理碗筷,8.53
2026/2/11,58-63be,丰县,收拾桌面,5.0
2026/2/11,017-0af6,丰县,电池安装,5.0
2026/2/11,19-c192,丰县,用抹布擦拭碗盘,5.0
2026年2月11日,39-d877,济宁,叠袜子,5
2026/2/11,97-98a7,丰县,药箱收纳,2.5
2026/2/11,97-98a7,丰县,整理文件,2.1
2026年2月12日,14-1ec0,济宁,叠袜子,5.5
2026/2/12,25-7088,丰县,叠衣服,5.17
2026/2/12,55-4aa8,丰县,整理零食、调料或玩具,5.18
2026/2/12,104-3fff,丰县,药箱收纳,5.3
2026/2/12,017-0af6,丰县,整理碗筷,5.45
2026/2/12,58-63be,丰县,药箱收纳,2.5
2026/2/12,101-6ea2,丰县,整理洗漱用品,5.16
2026/2/12,19-c192,丰县,电池安装,5.0
