标准任务名,丰县,宁波,未知,河南,济宁,深圳,邯郸,总计
叠衣服,21,20,5,18,14,2,10,90
用抹布擦拭碗盘,11,6,0,8,7,2,14,48
整理书籍,11,5,5,5,5,0,9,40
收拾桌面,5,5,2,7,2,0,18,39
整理零食、调料或玩具,14,2,1,4,5,2,11,39
穿鞋带,10,7,0,4,6,0,10,37
整理文件,14,2,0,2,5,1,13,37
药箱收纳,10,3,0,4,6,0,14,37
整理洗漱用品,7,2,0,7,5,2,9,32
电池安装,12,2,0,5,4,1,7,31
整理袜子,0,7,0,2,6,1,12,28
整理碗筷,5,0,0,4,3,2,10,24
分类坚果/豆子,1,0,0,5,4,0,12,22
折叠购物袋,0,0,0,4,4,1,10,19
整理鞋柜,6,3,0,3,1,2,0,15
整理耳机线/数据线,0,0,0,3,2,0,9,14
Fold and organize socks,0,2,0,2,3,0,3,10
分拣乐高/积木零件,0,0,0,3,5,0,2,10
整理名片/会员卡/银行卡,0,0,2,2,5,0,0,9
分拣晾晒衣物夹子,0,0,0,2,2,0,5,9
擦拭桌面小摆件,1,0,0,2,6,0,0,9
Organize cosmetic samples,0,0,0,0,3,0,5,8
Fold shopping bags,0,0,0,3,1,0,3,7
Clean the phone,0,0,0,0,4,0,1,5
Change the pillowcase,0,0,0,0,3,0,0,3
Sort nuts/beans,0,0,0,0,1,0,2,3
Replace the garbage bag,0,0,0,0,2,0,0,2
Organize earphones/data cables,0,0,0,0,1,0,1,2
Organize business cards/membership cards/bank cards,0,0,0,1,0,0,0,1
Wipe small table ornaments,0,0,0,1,0,0,0,1
Organize the drawer,0,0,0,0,1,0,0,1
清洁手机,0,0,0,0,0,0,1,1
整理鞋带,0,1,0,0,0,0,0,1
总计,128,67,15,101,116,16,191,634
