标准任务名,丰县,宁波,未知,河南,济宁,深圳,邯郸,总计
用抹布擦拭碗盘,54.02,17.11,0.0,38.8,28.54,10.02,78.52,227.01
叠衣服,44.0,40.06,1.66,43.93,23.8,0.16,45.04,198.65
药箱收纳,53.93,6.46,0.0,18.14,28.84,0.0,86.62,193.99
收拾桌面,27.01,12.01,0.08,23.11,10.13,0.0,106.31,178.65
整理文件,57.28,8.0,0.0,13.04,16.43,5.01,63.17,162.93
整理零食、调料或玩具,44.14,8.24,2.02,19.61,16.01,10.06,61.8,161.88
穿鞋带,42.07,16.32,0.0,18.2,23.11,0.0,55.71,155.41
整理书籍,44.19,13.31,4.39,17.62,25.18,0.0,43.54,148.23
电池安装,54.71,6.01,0.0,22.11,21.15,5.06,37.38,146.42
整理碗筷,17.2,0.0,0.0,25.68,17.39,10.06,70.12,140.45
整理洗漱用品,33.05,8.03,0.0,25.4,19.19,10.01,44.33,140.01
整理袜子,0.0,13.55,0.0,9.81,22.27,5.27,80.49,131.39
分类坚果/豆子,3.26,0.0,0.0,26.36,20.08,0.0,71.29,120.99000000000001
折叠购物袋,0.0,0.0,0.0,15.52,19.17,4.78,64.17,103.64
整理耳机线/数据线,0.0,0.0,0.0,15.02,7.38,0.0,51.12,73.52
分拣晾晒衣物夹子,0.0,0.0,0.0,15.75,12.65,0.0,35.65,64.05
整理鞋柜,18.88,10.52,0.0,15.41,3.4,10.03,0.0,58.24
擦拭桌面小摆件,4.69,0.0,0.0,14.9,28.83,0.0,0.0,48.42
Organize cosmetic samples,0.0,0.0,0.0,0.0,14.92,0.0,32.03,46.95
分拣乐高/积木零件,0.0,0.0,0.0,19.86,23.41,0.0,0.27,43.54
整理名片/会员卡/银行卡,0.0,0.0,0.22,5.23,25.63,0.0,0.0,31.08
Fold and organize socks,0.0,1.12,0.0,5.98,6.3,0.0,7.69,21.09
Fold shopping bags,0.0,0.0,0.0,8.95,1.08,0.0,8.01,18.04
Clean the phone,0.0,0.0,0.0,0.0,15.45,0.0,0.59,16.04
Change the pillowcase,0.0,0.0,0.0,0.0,15.96,0.0,0.0,15.96
Sort nuts/beans,0.0,0.0,0.0,0.0,4.47,0.0,5.5,9.969999999999999
Replace the garbage bag,0.0,0.0,0.0,0.0,9.28,0.0,0.0,9.28
清洁手机,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5.08
Organize the drawer,0.0,0.0,0.0,0.0,5.03,0.0,0.0,5.03
整理鞋带,0.0,4.01,0.0,0.0,0.0,0.0,0.0,4.01
Organize earphones/data cables,0.0,0.0,0.0,0.0,3.57,0.0,0.22,3.79
Wipe small table ornaments,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3
Organize business cards/membership cards/bank cards,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.67
总计,498.42999999999995,164.74999999999997,8.37,420.40000000000003,468.6499999999999,70.46000000000001,1054.65,2685.71
