采集点,任务,涉及设备数,记录数量,日报截屏时长(小时),原始上送时长(小时),不合格时长(小时),算法可接受时长(小时),合格率,平均每设备时长(小时)
丰县,整理文件,9,14,45.85,57.28,10.98,44.22,80.8%,6.36
丰县,电池安装,9,12,52.0,54.71,20.29,27.380000000000003,62.9%,6.08
丰县,用抹布擦拭碗盘,9,11,49.32,54.02,10.14,39.95,81.2%,6.0
丰县,药箱收纳,9,10,45.76,53.93,8.57,25.82,84.1%,5.99
丰县,书本收纳,9,11,38.93,44.19,16.82,19.5,61.9%,4.91
丰县,整理零食、调料或玩具,7,14,36.22,44.14,13.69,27.740000000000002,69.0%,6.31
丰县,叠衣服,10,21,33.04,44.0,8.99,30.729999999999997,79.6%,4.4
丰县,穿鞋带,7,10,40.71,42.07,5.37,32.31,87.2%,6.01
丰县,整理洗漱用品,6,7,33.019999999999996,33.05,15.01,17.650000000000002,54.6%,5.51
丰县,收拾桌面,5,5,26.6,27.01,8.370000000000001,18.64,69.0%,5.4
丰县,整理鞋柜,4,6,19.25,18.88,4.01,11.4,78.8%,4.72
丰县,整理碗筷,5,5,20.23,17.2,9.67,7.53,43.8%,3.44
丰县,擦拭桌面小摆件,1,1,4.68,4.69,0.0,4.69,100.0%,4.69
丰县,分类坚果/豆子,1,1,3.25,3.26,0.18,3.08,94.5%,3.26
宁波,叠衣服,5,19,0.0,39.04,5.78,24.849999999999998,85.2%,7.81
宁波,用抹布擦拭碗盘,4,6,0.0,17.11,2.14,10.709999999999999,87.5%,4.28
宁波,穿鞋带,5,7,0.0,16.32,1.6600000000000001,12.68,89.8%,3.26
宁波,整理袜子,3,7,0.0,13.55,0.2,11.25,98.5%,4.52
宁波,收拾桌面,5,5,0.0,12.01,3.55,5.61,70.4%,2.4
宁波,整理鞋柜,1,3,0.0,10.52,3.72,6.8,64.6%,10.52
宁波,整理零食、调料或玩具,2,2,0.0,8.24,0.52,7.720000000000001,93.7%,4.12
宁波,整理洗漱用品,1,2,0.0,8.03,1.63,6.3999999999999995,79.7%,8.03
宁波,整理文件,1,2,0.0,8.0,2.9699999999999998,1.9100000000000001,62.9%,8.0
宁波,书本收纳,4,4,0.0,7.83,1.34,6.48,82.9%,1.96
宁波,药箱收纳,3,3,0.0,6.46,0.43,5.85,93.3%,2.15
宁波,电池安装,1,2,0.0,6.01,1.68,2.15,72.0%,6.01
宁波,整理书籍,1,1,0.0,5.48,0.93,4.55,83.0%,5.48
宁波,整理鞋带,1,1,0.0,4.01,0.45,3.56,88.8%,4.01
宁波,Fold and organize socks,2,2,0.0,1.1199999999999999,0.0,0.67,100.0%,0.56
